name,stars,forks,open_issues,language
zamboni,471,255,13,Python
tuxedo,11,9,5,PHP
kitsune,321,317,4,Python
mozregression,62,54,1,Python
bleach,931,98,39,Python
zamboni-lib,15,9,2,Python
popcorn-js,1920,554,137,JavaScript
django-product-details,18,18,9,Python
input-lib,7,5,1,Python
mozmill,86,74,0,JavaScript
addon-sdk,653,314,59,JavaScript
django-csp,70,23,7,Python
mozmill-dashboard,12,10,1,JavaScript
doozer,8,6,1,Python
Firefox-UI-Heatmap,0,2,0,Python
happyforms,15,5,1,Python
django-piston,64,48,0,Python
openwebapps,285,142,3,JavaScript
testpilot-analysis,0,1,0,Python
bespinserver,6,1,0,Python
weaveserver-obsolote,0,1,0,PHP
personas,2,2,0,JavaScript
bespinclient,13,8,0,JavaScript
tabcandy,4,1,0,Perl
weave-identity,0,1,0,JavaScript
raindrop,12,4,0,JavaScript
testpilotweb,1,4,0,PHP
testpilot,2,3,2,JavaScript
snowl,2,2,0,JavaScript
jsmodules,2,2,0,JavaScript
people,3,1,0,JavaScript
weave-backup,1,2,0,JavaScript
weaveserver-identity,0,1,0,Python
weaveweb,3,3,1,JavaScript
weaveserver-openid,0,1,0,PHP
weaveclient-python,4,2,0,Python
ubiquity,33,4,1,JavaScript
nuggets,36,11,2,Python
skywriter,473,21,1,JavaScript
jschannel,139,38,21,JavaScript
doozer-lib,1,1,0,Python
nightlytt,36,18,60,JavaScript
chromeless,708,102,61,JavaScript
rainbow,116,20,13,C
narcissus,641,90,9,JavaScript
secret-squirrel-lib,0,1,0,Python
home-snippets-server,8,5,0,Python
home-snippets-server-lib,2,2,0,Python
task.js,1385,62,23,JavaScript
sigma,1,1,0,JavaScript
prospector,142,33,187,JavaScript
devtools,21,5,0,JavaScript
cloud9-skywriter-shared,6,2,0,JavaScript
opensearch,6,1,5,JavaScript
f1,52,9,2,Python
oauthorizer,27,4,6,JavaScript
caseconductor-ui,16,5,0,Python
FlightDeck-lib,3,2,0,Python
dryice,146,28,7,JavaScript
addon-builder-helper,9,8,0,JavaScript
mozwebqa-test-templates,49,50,0,null
appetizer-proxyhacks,0,2,0,Python
appetizer-proxyhacks-sites,0,2,0,JavaScript
input-tests,21,20,0,null
django-moz-header,15,13,4,CSS
caseconductor-platform,18,7,0,Java
playdoh,772,132,47,Python
playdoh-lib,27,26,0,HTML
caseconductor-ui-reqs,1,0,0,null
webowonder,2,2,0,JavaScript
authorized,3,1,0,JavaScript
code-hostages,0,1,0,Shell
webowonder-demos,32,19,0,JavaScript
getanaccount,2,0,5,JavaScript
webifyme,5,1,0,Python
webowonder-lib,0,1,0,Python
deuxdrop,79,10,14,JavaScript
experimental-split-server,1,2,0,JavaScript
home-snippets-switcher,4,4,0,JavaScript
preproduction,2,0,0,Python
rpm-sources,4,2,0,null
kuma,697,445,19,HTML
kuma-lib,5,9,0,Python
markup,29,4,1,JavaScript
spark,3,3,1,JavaScript
django-dnt,12,4,0,Python
webconsole,6,2,0,JavaScript
pontoon,87,33,7,Python
spark-lib,0,1,0,Python
apps.mozillalabs.com,6,5,1,JavaScript
amo-validator,50,46,4,Python
test-amo-validator,7,8,1,Python
openwebapps-aboutme,4,2,0,JavaScript
server-share-send,2,3,0,null
client-share-web,6,2,0,JavaScript
server-share-core,3,1,1,Python
FlightDeck-selenium,14,15,0,null
django-tidings,56,5,5,Python
unicode-slugify,177,30,6,Python
process-releases,25,12,0,Shell
openwebapps-flickr-connector,4,1,0,JavaScript
openwebapps-photosite-connector,0,1,0,Python
moz-grid-config,47,30,1,null
openwebapps-myphotos,1,1,0,JavaScript
markup-lib,0,1,0,Python
persona,1721,257,43,JavaScript
bugbro,0,1,0,Python
xpi_gate,2,2,0,JavaScript
elmo,24,20,0,Python
webifyme-lib,0,1,0,Python
mcom-tests,29,83,9,Python
bedrock,271,384,26,HTML
django-session-csrf,74,26,11,Python
django-jobvite,11,7,0,Python
domesday,5,3,0,Python
server-core,3,2,0,Python
pdf.js,13104,3061,582,JavaScript
sumo-tests,34,50,7,Python
spark-eol,0,2,1,JavaScript
server-share,6,2,0,Python
webdev-bootcamp,48,39,7,Python
Socorro-Tests,25,39,5,Python
openbadges-backpack,768,245,156,JavaScript
Addon-Tests,101,137,8,Python
rhino,971,311,92,C++
betafarm,22,15,5,Python
browsermirror,41,8,28,JavaScript
elasticutils,248,83,49,Python
mozcommitbuilder,6,5,9,Python
dxr,369,137,28,Python
mozillians,161,281,15,Python
mdn-tests,26,48,0,null
twitter-address-bar-search,27,6,12,JavaScript
qmo-tests,17,31,0,null
treestatus,8,13,5,null
addon-sdk-sdocs,5,3,1,CSS
playdoh-docs,35,24,3,Python
test-jetpack-addon,0,1,0,JavaScript
browserid-rp,2,2,0,null
web-forward,17,12,2,PHP
templeton,3,3,13,Python
cherrypicker,4,0,0,Ruby
fx-share-addon,19,2,2,JavaScript
mozillians-lib,1,3,0,Python
about-home-piano-snippet,2,1,0,HTML
about-home-persona-switcher,1,0,0,HTML
lightbeam,539,136,75,JavaScript
butter,286,147,32,JavaScript
affiliates,39,49,0,Python
source-map,690,109,23,JavaScript
wsoh,46,41,1,null
funfactory,53,26,2,Python
browserid_addon,12,4,19,JavaScript
wiki-tests,16,31,0,null
django-browserid,195,84,2,JavaScript
quality.mozilla.org,14,10,0,PHP
deuxdrop-design,1,0,0,JavaScript
django-badger,104,56,104,Python
about-home-jumping-fox-game,2,2,0,JavaScript
2015.mozillafestival.org,10,11,4,JavaScript
developer-challenge-platform,8,3,0,Ruby
pytest-mozwebqa,67,51,0,Python
nocturnal,8,29,6,CSS
apps-payment-server,3,0,0,Python
browserid-crypto,128,25,22,JavaScript
tinderbox,2,2,0,Perl
caseconductor-qa,4,3,0,Python
checklinks,1,0,0,Python
rescuefox,35,10,1,JavaScript
socorro,253,134,11,Python
rr,1141,102,153,C++
phpbb3-static,0,1,0,PHP
icongrid,25,4,0,JavaScript
affiliates-lib,1,1,0,Python
Your-Web,2,1,0,JavaScript
watchdog,5,3,5,JavaScript
cleopatra,18,33,4,JavaScript
pdf.js-bot,18,3,2,JavaScript
moztrap-tests,17,32,4,Python
mozillians-ldap,2,1,1,Python
mod_browserid,19,6,3,C
soup,10,7,0,JavaScript
socorro-docs,5,2,0,Python
mozbase-deprecated,34,58,2,Python
BrowserQuest,5625,1772,0,JavaScript
mozillians-tests,23,47,9,Python
djangode,1,0,0,JavaScript
OriginOnly,3,3,0,JavaScript
uramaki,4,1,0,JavaScript
Affiliates-Tests,17,35,0,Python
appsync,11,3,0,Python
balrog,12,19,2,Python
moztrap-vendor-lib,1,3,1,Python
sauropod,13,4,12,JavaScript
webtools-workermgmt,5,1,0,PHP
splash.mozilla-ignite.org,4,4,0,JavaScript
mozmill-environment,9,12,20,Python
mozilla-ignite,15,15,3,Python
gamesaver,9,1,0,JavaScript
repotheweb,4,2,5,JavaScript
appsync-vendor,1,0,0,Python
mozilla-pootle-extras,10,2,0,Python
sasl-browserid,1,0,3,Shell
mozilla-central,329,341,5,C++
lumbergh,10,46,1,JavaScript
configman,31,15,8,Python
PyVEP,8,4,1,Python
webtools-workermgmt-lib,1,0,0,Python
jmeter-scripts,4,2,0,null
lumbergh-lib,1,0,0,HTML
marketing-project-template,6,7,1,Python
itisatrap,3,4,2,CSS
popcorn-docs,13,20,4,HTML
moztrap-reqs,3,7,1,null
moztrap,81,67,9,Python
parapara,12,17,9,JavaScript
testdaybot,8,7,9,JavaScript
wp.mozilla-ignite.org,4,3,0,PHP
watchdog-alert-passwords,4,2,0,JavaScript
watchdog-automate,4,1,0,JavaScript
watchdog-filter-bubble,2,1,0,JavaScript
watchdog-visualhash,6,2,2,JavaScript
watchdog-visualize-passwords,13,4,3,JavaScript
moztrap-connect,4,2,2,JavaScript
winchan,32,10,4,JavaScript
eyedee.me,79,13,6,JavaScript
shumway,3240,296,415,TypeScript
mozmill-ci,16,20,44,Python
node-client-sessions,416,64,13,JavaScript
areweslimyet-benchtester,1,1,0,Python
memchaser,32,19,40,JavaScript
areweslimyet,25,8,36,JavaScript
firefox-flicks,14,18,0,Python
briar-patch,9,7,0,Python
treestatus-lib,1,0,0,Python
remo,32,77,7,Python
tabzilla,62,41,3,CSS
moz-git-tools,107,50,11,Shell
node-convict,317,44,13,JavaScript
WebBuilder,5,2,0,JavaScript
activities,6,2,1,JavaScript
mozilla-opennews,22,12,2,HTML
kumascript,26,12,3,JavaScript
bidpom,24,21,4,Python
mediawiki-bugzilla,41,28,23,PHP
verbatim,7,6,3,Python
dragnet,2,1,0,Python
ACR,6,4,1,JavaScript
connect-cachify,135,20,7,JavaScript
scrumbugz,37,25,51,Python
browserid-cookbook,126,41,6,Ruby
marketplace-tests,37,56,6,Python
autophone,12,12,6,Python
vinz-clortho,16,15,20,null
affiliates-banners,2,0,0,null
SocialShare,30,11,6,JavaScript
blekko,5,2,1,JavaScript
stoneridge,4,3,4,C
watchdog-visualize-old-passwords,5,3,0,JavaScript
One-Mozilla-blog,84,78,9,CSS
ADBFuzz,20,15,0,Python
snippets-tests,7,16,1,Python
guineapig,1,0,0,null
socialapi-dev,41,7,1,JavaScript
PyBrowserID,37,12,9,Python
testpilot2,3,3,7,JavaScript
i18n-abide,100,42,38,JavaScript
pulsetranslator,1,5,1,Python
SocorroSearchService,3,2,0,Java
botio-files-pdfjs,7,3,0,CSS
JSBugMon,3,3,0,Python
fx36start,5,11,0,CSS
bramble,4,1,0,Python
awsbox,751,82,32,JavaScript
webapps-spec,10,5,10,JavaScript
coversheet,3,3,7,Python
persona-yahoo-bridge,27,12,58,JavaScript
caseconductor,1,0,0,null
make.mozilla.org,12,15,23,Python
id-specs,72,19,13,null
pdf.js-sample-files,1,0,0,null
slowparse,94,21,5,JavaScript
webrtc,33,12,2,JavaScript
snippets,8,13,2,HTML
newnewtab,7,4,5,JavaScript
wikimo-skin,4,2,0,JavaScript
popcorn_maker,33,26,1,Python
mozapps-polyfill,2,0,0,JavaScript
mortar,371,56,5,null
datazilla,44,15,0,JavaScript
trunion,1,3,0,Python
123done,48,26,10,JavaScript
browserid-ios,8,3,0,Objective-C
friendlycode,48,30,25,JavaScript
WebApp-OpenStreetMap,12,4,0,JavaScript
ispdb,14,3,0,Python
mozilla-taskboard,5,2,1,Python
restmail.net,21,10,1,JavaScript
motown,5,3,14,JavaScript
socorro-crashstats,18,19,5,Python
personatestuser.org,15,8,14,JavaScript
mozmill-automation,11,27,1,Python
receiptverifier,15,9,1,JavaScript
browserid-tapas,1,0,0,null
mozdownload,25,31,43,Python
source,27,21,11,Python
socialapi-core,2,0,0,JavaScript
integration-mozilla-inbound,4,2,0,C++
loady,7,1,2,JavaScript
zamboni-dashboard,6,7,1,Python
solitude,26,37,15,Python
releases-comm-central,20,11,3,JavaScript
airmozilla,74,73,1,JavaScript
datazilla_client,6,7,6,Python
napkin,32,2,0,JavaScript
Marketplace.Python,7,12,3,Python
spade,21,8,20,JavaScript
WebGameStub,111,17,15,JavaScript
bughub,1,1,1,Python
apps-design,3,0,7,Ruby
july-campaign-fb-tab,1,0,0,PHP
moz-ldap,5,2,1,Python
standup,27,24,25,Python
datazilla-metrics,2,2,0,Python
standup-irc,8,8,9,JavaScript
watchdog-manager,3,1,6,JavaScript
xtags-org,9,2,3,JavaScript
webmakers-tumblr,3,1,0,null
fjord,22,51,0,Python
build-buildbot-configs,3,14,1,Python
marketplace-loadtest,10,2,0,Python
django-memcached-pool,74,22,10,Python
sweet.js,3269,173,113,JavaScript
content-2012.mozillafestival.org,5,5,1,PHP
Negatus,2,7,2,C++
html5-lint,106,18,4,Python
mozilla-presentation-templates,138,100,6,HTML
npm-lockdown,120,14,16,JavaScript
nunjucks,2407,199,75,JavaScript
app-validator,29,28,0,Python
versioncheck,0,0,0,JavaScript
smokejumper,4,0,0,JavaScript
gombot-chrome,4,0,4,JavaScript
inv-tool,8,13,5,Python
browserid_deployer,3,4,1,JavaScript
mozilla-ignite-learning-lab-demos,20,11,0,Python
x-tag-layouts,5,0,0,null
node-srp,68,24,6,JavaScript
r2d2b2g,423,152,124,JavaScript
cef,0,6,2,Python
login.webmaker.org,20,41,36,JavaScript
identity-pubkeys,0,3,0,null
mozhacks,62,26,9,PHP
hardhat,0,2,1,JavaScript
build-cloud-tools,14,17,1,Python
openbadges-bakery,13,10,0,JavaScript
tuxedo-lib,0,2,0,Python
Marketplace.PHP,57,43,3,PHP
status.persona.org,2,9,4,JavaScript
browserid-delegates,0,0,0,JavaScript
addon-sdk-sdocs-pub,0,0,0,null
openbadger,35,21,39,JavaScript
webpay,41,59,4,Python
gameon,0,6,12,Python
mw-skins,0,0,0,PHP
gaia-custom-elements,0,0,0,null
bouncer-tests,1,25,2,Python
mozilla-ignite-learning-lab-videos,0,1,0,null
build-buildbotcustom,4,11,1,Python
build-buildapi,0,4,0,JavaScript
build-mozharness,11,26,1,Python
build-opsi-package-sources,0,0,0,null
build-preproduction,0,0,0,Python
build-puppet-manifests,3,2,0,null
build-rpm-sources,0,1,0,null
build-talos,1,4,2,JavaScript
build-partner-repacks,1,1,0,JavaScript
build-puppet,15,18,0,Ruby
build-tools,20,27,3,Python
collusion-server,0,0,0,JavaScript
team-dashboard,1,0,0,JavaScript
skycrane-detector,1,0,0,null
gelato.admin,0,0,0,JavaScript
stun-vm,7,1,1,Shell
anodejsholidayseason,6,2,0,null
gombot,7,0,51,JavaScript
Firefox-Shield,1,3,3,null
persona-presentation-assets,8,2,0,null
hackablegames,4,5,1,JavaScript
oneanddone,24,40,6,JavaScript
signing-clients,0,3,3,Python
security,4,0,6,Python
mortar-list-detail,21,9,4,JavaScript
mortar-app-stub,32,29,1,CSS
zamboni-psds,0,0,0,null
mortar-game-stub,59,31,10,JavaScript
MakeAPI,28,31,11,JavaScript
popcornjs.org,4,2,1,null
togetherjs,5251,631,145,JavaScript
hungry-js,4,1,0,JavaScript
monolith,15,3,2,JavaScript
mortar-layouts,21,5,4,JavaScript
mortar-tab-view,4,8,3,JavaScript
web-components,16,6,1,JavaScript
inventory,29,10,7,Python
high-fidelity,91,35,22,JavaScript
opennews-if-this-then-news,0,0,0,JavaScript
layerscope,12,13,5,JavaScript
monolith-aggregator,6,4,2,Python
openbadges-verifier,1,3,1,null
mwc,0,1,0,Python
identity-ops,23,11,54,Python
picl-tabs,1,1,4,JavaScript
picl-server,18,6,13,JavaScript
picl-contacts,6,0,0,JavaScript
calculator,8,23,14,JavaScript
firefoxos-quick-start,59,19,3,JavaScript
mofactor-template,0,0,0,null
blushproof,5,2,9,JavaScript
minion,259,22,8,null
minion-core,2,2,0,Python
minion-garmr-plugin,1,2,1,Python
minion-zap-plugin,11,4,5,Python
minion-skipfish-plugin,7,2,1,Python
minion-nmap-plugin,5,6,0,Python
minion-frontend-old,0,0,0,JavaScript
plugins,1,2,0,PHP
picl-passwords,1,0,0,JavaScript
KitchenSink-App,2,1,0,JavaScript
helpdesk-wp,1,0,0,PHP
fireplace,89,204,9,JavaScript
spiderflunky,5,3,12,Python
gombot-ios,0,0,0,Objective-C
cookiemonster,2,1,5,JavaScript
webdev-contributors,2,12,4,Python
picl-keyserver,3,0,2,JavaScript
monolith-client,3,2,1,Python
mozpay-js,8,2,1,JavaScript
b2gpopulate,1,6,0,Python
b2gperf,7,15,1,Python
picl-desktop-client,5,2,5,JavaScript
mozpool,1,5,0,Python
zest,35,14,17,Java
openbadges-validator,5,7,13,JavaScript
CSOL-site,6,15,63,JavaScript
custom-elements,1,0,0,JavaScript
example-search-addon,1,0,3,JavaScript
geodude,20,12,0,Python
badges.mozilla.org,24,53,58,Python
peekaboo,3,5,0,JavaScript
treeherder,30,68,19,Python
KitchenSink,1,3,1,JavaScript
personas-plus,1,3,0,JavaScript
jydoop,28,17,7,Python
webapi-examples,0,0,0,JavaScript
mozpay-py,2,1,0,Python
monolith.js,0,0,0,null
remo-tests,10,63,0,null
chief,9,7,5,Python
node-hubble,3,5,7,JavaScript
fhr-jelly,2,21,2,JavaScript
caravela,10,5,37,Python
webmaker.org,66,109,85,HTML
talkilla,85,39,6,JavaScript
persona-ios,21,7,1,Objective-C
openbadges-validator-service,3,7,4,JavaScript
matchpoint,2,1,0,Python
webmaker-firehose-archive,0,1,0,JavaScript
community.openbadges.org,1,2,5,JavaScript
awsboxen,37,7,8,JavaScript
thimble.webmaker.org,239,103,95,JavaScript
aestimia,4,8,30,JavaScript
ichnaea,243,47,23,JavaScript
twindle,0,0,0,null
build-autoland,0,2,1,null
PyHawk,23,16,10,Python
telemetry-dashboard,24,27,10,JavaScript
minion-zest-plugin,1,2,1,Python
snippets-service,8,13,3,JavaScript
minion-frontend,18,18,24,JavaScript
kitchensinkserver,0,1,0,Python
mozilla.github.io,4,3,2,HTML
inneractive,16,5,3,JavaScript
node-webmaker-loginapi,1,11,3,JavaScript
sys_script_examples,0,0,0,Python
jira2moztrap,0,1,1,Python
popcorn.webmaker.org,125,120,41,JavaScript
fxa-auth-server,218,52,34,JavaScript
node-kvstore,2,3,1,JavaScript
minion-backend,28,21,34,Python
osumo,2,3,9,JavaScript
persona-gmail-bridge,9,6,13,JavaScript
pointer.js,408,24,9,JavaScript
minion-ssl-plugin,6,2,1,Python
webmaker-events,3,9,3,JavaScript
picl-mocks,2,2,17,JavaScript
FirefoxAcademicCenter,0,0,0,null
jsThreads,9,4,3,JavaScript
fifi,1,0,2,JavaScript
fifiback,0,0,0,JavaScript
telemetry-server,28,22,10,Python
commbadge,5,22,0,CSS
mod_authnz_persona,19,14,5,C
OpenOpenNewsNews,2,3,0,null
makeapi-client,5,10,10,JavaScript
treeherder-ui-deprecated,27,45,0,null
make-valet,6,21,8,JavaScript
kanbanzilla,21,9,7,JavaScript
rocketfuel,4,18,0,JavaScript
persona-roadmap,3,0,65,null
MozStumbler,472,180,159,Java
appmaker-words,4,1,23,null
webmaker-suite,18,37,10,JavaScript
marketplay,7,2,7,Python
openbadges-bakery-service,2,3,7,JavaScript
vtt.js,82,29,30,Java
tincan,124,21,3,CSS
x-ray-goggles,24,36,16,JavaScript
webdev-manager-resources,3,3,1,Python
webliteracymap,15,9,6,null
up-jelly,2,1,0,JavaScript
marketplace-api-mock,4,10,1,Python
around,19,6,20,CSS
fxa-scrypt-helper,1,3,6,Python
appmaker-components,20,33,6,CSS
ceci,2,8,4,JavaScript
captain,7,3,8,Python
shove,5,5,1,Python
ceci-bower,0,0,0,JavaScript
fxa-content-server,83,51,126,JavaScript
fxa-js-client-old,4,7,6,JavaScript
webmaker-mediasync,3,6,3,JavaScript
webmaker-profile,15,20,0,CSS
archiver_toolkit,1,2,0,Python
minion-breach-plugin,1,1,1,Python
ashes,5,2,1,Python
speakeasy,2,1,0,JavaScript
node-webmaker-postalservice,1,9,3,JavaScript
picl-oldsync,1,1,2,Shell
node-webmaker-i18n,18,14,0,JavaScript
persona.org,5,6,7,CSS
badgeopolis,1,2,5,null
node-webmaker-butler,1,1,1,JavaScript
marketplace-stats,8,19,0,CSS
addon-registration,1,1,6,Python
nucleus,1,10,4,Python
firehug,5,20,16,JavaScript
stillis,8,0,0,Python
devtools-reqs,5,2,0,null
rna,0,6,4,Python
eideticker-ci,1,1,0,Shell
libadb,0,0,0,null
corsica,19,11,7,JavaScript
webmaker-profile-service,1,12,1,JavaScript
