name,stars,forks,open_issues,language
mig,620,96,37,Go
fxa-deployment,0,2,16,Shell
openbadger-client,1,1,2,JavaScript
openbadges-cem,2,4,7,JavaScript
aestimia-client,1,0,2,JavaScript
webmaker-ui,1,2,0,JavaScript
Fira,2096,154,29,HTML
zippy,9,25,0,JavaScript
mozmoderator,7,8,18,CSS
libadb.js,8,8,5,C++
openbadges-badges,1,8,10,CSS
galaxy,10,14,54,JavaScript
allizom_org,1,3,1,CSS
gecko-dev,509,683,3,null
gecko-projects,20,18,0,null
badges.mozillafestival.org,1,1,2,CSS
openbadges-badgekit,91,60,63,JavaScript
dynamicua_update_script,0,1,0,null
sciencelab,5,9,3,PHP
chatspaces,32,13,9,JavaScript
nunjucks-docs,17,16,0,null
relman-tools,2,2,0,Python
badge-the-world,1,5,6,JavaScript
teach-appmaker,0,0,0,null
mciconf,2,5,0,HTML
fxa-js-client,20,16,2,JavaScript
localForage,5069,329,76,JavaScript
pretty-fast,28,9,0,JavaScript
marketplace-tests-gaia,0,11,3,Python
telemetry-aggregator,2,3,4,JavaScript
trypersona.org,2,1,1,null
build-relengdocs,1,7,1,Python
bugzfeed,5,2,1,Python
browserid-local-verify,3,5,0,JavaScript
infra-x-design,1,1,0,null
apk-factory-service,35,15,7,JavaScript
oneanddone-tests,4,15,2,Python
mozilla-flask-crb,0,2,3,CSS
browserid-verifier,2,11,2,JavaScript
legal-docs,10,62,14,null
marketplace-ctf,0,0,0,HTML
badgekit-api,26,35,37,JavaScript
openbadges-discovery,19,3,48,JavaScript
energia,4,3,0,JavaScript
hotdish,109,8,120,JavaScript
webmaker-download-locales,2,5,4,JavaScript
webmaker-locales-mapping-configuration,2,3,0,JavaScript
csp-logger,9,4,2,JavaScript
galaxy-api,9,14,92,JavaScript
language-mapping-list,11,4,0,JavaScript
tardy,1,2,2,Python
video_codec_module,1,0,0,C++
treeherder-client-deprecated,3,5,0,null
badgekit-api-client,4,5,5,JavaScript
security-process-docs,3,0,0,null
mozjpeg,1836,170,57,C
events.webmaker.org,8,23,12,JavaScript
webmaker-events-service,2,11,4,JavaScript
mortar-devtools,2,4,3,JavaScript
apk-signer,4,6,0,Python
grunt-i18n-abide,10,4,5,JavaScript
transonic,2,10,1,CSS
fxoss,7,9,6,JavaScript
webmaker-auth-client,1,9,4,JavaScript
makerstrap,19,21,17,HTML
user-advocacy,2,3,3,Python
spartacus,11,33,2,JavaScript
webmaker-kits,3,4,3,CSS
webmaker-analytics,1,4,0,JavaScript
nav-global,1,4,0,CSS
mozmonument-sf,0,0,4,null
olympia,65,124,66,Python
node-rtltr,0,1,0,JavaScript
fxa-profile-server,7,9,8,JavaScript
webrtc-standalone,31,8,0,C++
mortar-privileged-remote-app,2,2,2,JavaScript
mortar-template-template,0,1,0,JavaScript
MakeAPI-Gallery,1,3,4,JavaScript
webmaker-auth,1,7,4,JavaScript
fxa-oauth-server,23,17,16,JavaScript
webmaker-kits-builder,1,7,10,JavaScript
school-of-webmaking,5,13,23,JavaScript
webmaker-tests,8,16,0,null
moz-dev-contrib,4,1,0,null
marketplace-docs,1,9,1,Makefile
marketplace-operator-dashboard,2,6,0,JavaScript
gitribution,17,3,0,JavaScript
releng-jacuzzis,0,7,0,ApacheConf
fxa-content-server-l10n,5,17,1,Shell
treeherder-node,1,5,2,JavaScript
webmaker-whitepaper,0,5,0,CSS
rbbz,6,4,0,Python
webmaker-login-example,1,1,0,JavaScript
webmaker-language-picker,0,10,2,JavaScript
fxpay,17,10,9,JavaScript
webtools-bmo-bugzilla,12,12,0,Perl
webtools-bmo-qa,0,0,0,Perl
recroom,291,16,15,JavaScript
fxa-python-client,4,3,2,Python
mrburns,10,13,2,CSS
aggredash,0,2,0,JavaScript
web-literacy-client,1,3,0,JavaScript
localForage-backbone,58,10,2,JavaScript
loop-client,2,6,0,JavaScript
node-vtt,2,3,2,JavaScript
smithers,1,2,0,Python
cheesecake,1,2,0,Puppet
b2ghaystack,1,2,1,Python
recroom-docs,1,1,0,null
crontabber,115,11,14,Python
transibution,0,0,0,JavaScript
lumberyard,3,7,2,JavaScript
sawmill,2,10,3,JavaScript
badgekit-backpack,0,0,9,JavaScript
adhoctribution,6,6,2,JavaScript
build-relengapi,9,21,67,Python
makerparty,5,16,1,JavaScript
darjeeling,3,12,1,JavaScript
bucheron,0,3,0,JavaScript
webmaker-profile-2,7,23,6,JavaScript
park-warden,1,5,0,JavaScript
generator-recroom,2,3,6,JavaScript
ember-localforage,1,1,1,null
automation-fuzz-tools,0,0,0,null
fxa-auth-db-server,4,9,3,JavaScript
mortar-appinstall,0,1,0,JavaScript
buddyup,6,19,0,JavaScript
webmaker-translation-stats,0,2,0,JavaScript
makedrive,345,32,57,JavaScript
fxa-customs-server,2,9,3,JavaScript
community-ux,3,1,17,null
charts,10,24,1,JavaScript
ambient-boxen,0,0,1,Ruby
yogafire,7,12,0,JavaScript
acidity,4,2,17,JavaScript
hookshot,0,2,3,JavaScript
grunt-acidity,0,0,0,null
apk-cli,50,4,2,JavaScript
marketplace-constants,3,7,2,Python
Gallery-Maker,0,3,2,JavaScript
pkix-compatibility-testing,1,2,0,JavaScript
fxa-dev,7,13,6,Lua
pulseguardian,3,6,2,Python
webmaker-user-client,1,3,1,JavaScript
metrics-graphics,5461,282,61,JavaScript
webmaker-code-of-conduct,1,2,8,null
qa-mozmill-tests,5,8,0,JavaScript
betachannel,3,3,17,JavaScript
nimble.webmaker.org,8,11,12,JavaScript
bloodflow,0,0,6,null
ascendproject,15,24,3,CSS
stooge,5,5,14,JavaScript
brick-boilerplate,1,1,1,JavaScript
2014.mozillafestival.org,4,3,0,PHP
angle,3,7,3,C++
makeapi-docs,0,2,1,CSS
webmaker-screenshot,1,1,9,JavaScript
valence,295,42,48,JavaScript
yaocho,4,1,0,JavaScript
mozbadging,2,2,25,null
django-badge-studio,0,0,0,null
gmp-api,0,3,0,C++
http_helper,0,1,1,JavaScript
fxa-auth-mailer,1,10,8,HTML
team-list,1,2,0,JavaScript
hivelearningnetworks.org,2,4,2,PHP
mobile-opportunity,2,4,43,JavaScript
libnfldap,2,2,0,Python
thunderhug,1,2,7,JavaScript
webmaker-rid,0,2,1,JavaScript
fennec-search,6,7,2,Java
badgekit-api-python-client,1,1,0,Python
moz2d,0,0,0,C++
makerparty-heatmap,0,2,0,JavaScript
mortar-privileged-empty-app,0,1,0,JavaScript
videur,31,5,8,Lua
webmaker-mailroom,1,10,8,HTML
webmaker-landing-pages,7,15,1,HTML
adbhelper,12,25,0,JavaScript
firefox-app-validator-manifest,7,6,2,JavaScript
mozilla-badges,0,2,9,Python
django-badgekit,0,1,0,Python
advocacy.mozilla.org,3,9,9,HTML
pymake,11,3,2,Python
node-janus,39,7,9,JavaScript
referral-board,1,0,0,HTML
foundation-security-advisories,3,5,0,Python
release-blog,8,4,6,CSS
build-funsize,2,8,0,null
statsd-console-backend,0,0,0,JavaScript
janus-addon,16,4,4,JavaScript
bsd-forms-and-wrappers,2,6,1,HTML
chromecast,0,0,0,null
pluotsorbet,181,36,298,Java
cerberus,3,4,0,Python
spicedham,1,1,1,Python
fireplay-sublime,33,6,16,Python
fxa-auth-db-mem,0,6,0,JavaScript
node-firefox,273,12,20,JavaScript
firefox-app-validator-icons,0,1,0,JavaScript
DropItLike,68,8,0,null
build-fwunit,28,5,4,CSS
marketplace-env,7,17,4,Shell
webmaker-android,121,104,3,Java
contacts-sync-prototype,6,2,4,JavaScript
discoplace,0,5,0,JavaScript
telemetry-js-node,0,0,0,JavaScript
contribute.json,17,17,7,CSS
telemetry-tools,0,0,1,Python
telemetry-collector,0,1,0,JavaScript
galaxy.js,9,2,22,JavaScript
seasponge,127,22,24,CoffeeScript
webmaker-personas,1,4,7,JavaScript
qmo-design,1,3,0,CSS
masche,371,37,4,Go
telemetry-dashboard-prototype,1,0,0,JavaScript
webmaker-app-cordova,2,10,3,JavaScript
iacomus,2,3,0,JavaScript
mofo-campaignurl,0,1,0,JavaScript
oldpto,1,6,0,JavaScript
theopenstandard,10,8,0,PHP
filer-redis,2,1,0,null
migfw,3,2,3,C++
mysql-patcher,1,3,1,JavaScript
webmakerprototypes.org,1,3,0,null
firefox-app-validator-central,1,2,1,JavaScript
filer-mysql,0,1,0,null
medusa,6,3,1,Clojure
build-runner,3,4,5,Python
galaxy-api-python-client,0,1,0,Python
build-proxxy,2,0,0,Python
mortar-tabs-component,0,0,3,JavaScript
webmaker-login-ux,3,18,42,HTML
firefox-for-android-addons,24,18,1,JavaScript
janus-image-worker,4,2,1,C
marketplace-style-guide,0,1,0,CSS
galaxy.js-mobile-gamepad,10,4,93,JavaScript
nsm-scripts,0,0,0,null
web-to-lead,0,0,0,CSS
tls-observatory,9,1,14,Go
fxa-auth-db-mysql,3,10,6,JavaScript
osmdroid,1,2,1,Java
autolander,5,6,0,JavaScript
opsec_wikimo,0,1,0,null
fxa-oauth-client,2,1,3,JavaScript
iacomus-alerts,2,2,0,Python
pdfjs-dist,35,14,0,JavaScript
webmaker-metrics,1,2,7,JavaScript
mortar-hello-world,1,3,0,HTML
marketplace-template,3,0,2,JavaScript
pontoon-intro,2,7,0,HTML
marketplace-payment-provider-spec,0,1,0,Python
fxa-oauth-console,2,3,5,JavaScript
build-relengapi-slaveloan,1,3,0,null
mozlog,3,4,1,JavaScript
webmaker-app-publisher,2,7,2,CSS
chromecast-server,1,1,0,JavaScript
marketplace-elements,2,7,4,JavaScript
sso-mozilla-com,1,2,0,CSS
build-relengapi-clobberer,1,6,0,null
build-relengapi-skeleton,1,1,1,null
firefox-ui-tests,14,38,6,Python
balrog-ui,0,5,0,JavaScript
mozilla_ci_tools,9,20,36,Python
server-side-tls,317,46,23,HTML
moz-corsica,6,16,3,Shell
marketplace-gulp,3,6,3,JavaScript
masterfirefoxos,1,10,2,Python
python-nss-docs,0,0,0,CSS
hapi-fxa-oauth,0,1,0,JavaScript
flame-on,1,2,2,null
sugardough,94,23,9,Python
ember-cli-fxos,10,2,7,JavaScript
forums.mozilla.org,2,1,0,Shell
wiki.mozilla.org,8,10,1,PHP
firefox10.org,4,5,1,null
node-firefox-find-ports,11,6,4,JavaScript
firefox-ios,5019,891,94,C
fxa-relier-client,2,5,4,JavaScript
fxa-local-dev,21,10,0,JavaScript
marketplace-core-modules,6,11,0,JavaScript
scanjs-core,0,0,0,null
audit-go,12,5,1,Go
loop-client-l10n,4,5,3,null
air.mozilla.org,3,0,1,null
marketplace-frontend-docs,0,2,0,Makefile
interest-dashboard,13,11,16,JavaScript
PyFxA,3,5,5,Python
eoy-charts,0,2,0,JavaScript
lorax,2,7,4,JavaScript
build-runner-windows,0,0,0,Python
hello-tests,0,6,0,Python
build-cleanslate,1,2,1,Python
mofo-transaction-storage,0,3,0,JavaScript
webmaker-curriculum,19,38,6,HTML
MozDesign,0,0,0,null
chronicle,16,5,138,JavaScript
chronicle-addon,3,3,4,JavaScript
chronicle-l10n,0,0,0,null
python_moztelemetry,2,6,12,Python
build-blobuploader,0,2,0,Python
build-blobber,0,3,0,Python
ee-infra-jenkins,2,2,2,Shell
self-repair-server,6,9,86,JavaScript
webmaker-addons,5,0,22,JavaScript
build-funsizer,0,2,0,Python
bugherder,1,3,5,JavaScript
structured-catalog,1,1,0,Python
masterfirefoxos-l10n,4,18,1,null
build-mar,2,3,1,Python
ateam-bootcamp,0,8,1,Python
browser.html,867,78,160,JavaScript
testdroid-marionette-plugin,2,6,1,Java
libaudit-go,5,3,1,Go
audit-go-mozdef,2,2,0,Go
mdn-devtool,7,4,1,JavaScript
node-firefox-build-tools,0,4,3,JavaScript
github-org-scripts,2,2,3,Python
fxa-notification-server,0,3,0,JavaScript
node-firefox-find-simulators,1,5,2,JavaScript
opsec-puppet,4,3,0,Puppet
socorro-infra,23,10,11,Shell
boards,0,0,1,null
node-firefox-connect,2,5,2,JavaScript
node-firefox-start-simulator,4,5,3,JavaScript
build.webmaker.org,5,14,32,CSS
node-firefox-find-app,1,4,0,JavaScript
srihash.org,9,5,8,JavaScript
mofo-metrics,1,0,14,null
build-ansible,1,1,0,Python
node-firefox-install-app,1,4,4,JavaScript
webmaker-firehose,0,3,5,JavaScript
node-firefox-examples-install-packaged,2,2,0,JavaScript
react-i18n,2,0,1,JavaScript
node-firefox-launch-app,2,3,1,JavaScript
call.mozilla.org,2,5,1,CSS
mozwebqa-examples,4,7,2,Python
crash-report-tools,0,1,0,PHP
able-registry-dev,1,0,0,null
reclama,1,4,3,CSS
node-firefox-uninstall-app,1,3,0,JavaScript
moz-games,2,4,11,CSS
node-firefox-reload-css,2,4,1,JavaScript
node-firefox-examples-gulp,7,1,1,JavaScript
fhr-r-rollups,1,3,0,R
readability,210,43,99,HTML
learning-pathways-whitepaper,1,0,12,null
fxapom,0,2,0,Python
marketpulse,4,7,11,Python
plugin-crash-dashboard,0,0,0,JavaScript
teach.mozilla.org,20,58,158,JavaScript
tiles_queue_processor,0,0,0,Python
webdev,16,15,2,JavaScript
build-environments,2,1,0,Makefile
plugincheck,0,1,0,Python
support-classifiers,0,0,0,null
ttw-podcast,1,3,8,HTML
ship-it,2,11,0,Python
funsize,1,7,0,Python
blog.webmaker.org,1,3,2,PHP
node-firefox-marketplace,2,1,2,JavaScript
webmaker-browser,11,18,33,JavaScript
payments,2,4,16,null
shumway-dist,7,1,0,JavaScript
nicar-2015-2fa-plus,5,1,0,null
build-jacuzzi-allocator,0,3,0,Python
webprod-deis,0,1,0,Python
fxa-content-experiments,0,4,2,JavaScript
json-hyperschemas,1,1,0,null
teach-api,1,6,5,Python
emr-bootstrap-spark,2,4,2,Python
deis-backup-service,7,4,0,Shell
marketplace-jquery,0,0,0,null
id.webmaker.org,6,18,113,JavaScript
node-firefox-find-devices,1,3,1,JavaScript
npapi-sdk,7,6,13,C
fxa-jwtool,0,1,0,JavaScript
node-firefox-forward-ports,0,2,2,JavaScript
signing-service,2,2,1,Python
privacybadges,1,0,0,null
DemoStumbler,5,1,0,Java
mofo-phantom,1,1,0,JavaScript
react-ga,39,14,11,JavaScript
services-quality-dashboard,0,1,0,JavaScript
marketplace-core-css,0,0,0,CSS
universal-search-gecko-dev,8,0,14,C++
universal-search-content,5,6,38,JavaScript
universal-search-old-iframe,0,0,0,HTML
treeherder-tests,1,4,8,Python
phonebook,4,7,1,PHP
api.webmaker.org,11,7,47,JavaScript
aws-lambda-telemetry,1,2,0,Python
community-ops,0,0,1,null
payments-ui,56,6,51,JavaScript
payments-env,3,5,4,Python
metrics-aws-clusters,0,0,0,HTML
participation-heartbeat,1,2,0,JavaScript
participation-org,18,9,32,null
payments-service,3,3,15,Python
Reveal-Mozilla-Theme,0,0,0,CSS
openbadges.org-static,1,3,0,PHP
tsaws,2,0,0,Python
learning-networks,5,2,42,null
signage,0,0,0,HTML
payments-example,0,3,1,HTML
buildbot-bridge,2,4,0,Python
london-events-presentation,0,0,0,JavaScript
devtools-perf-game,64,45,6,JavaScript
shumway-whitelist,1,1,1,null
fennec-distribution-sample,0,1,0,null
solitude-auth,0,7,0,Python
build-vcs2aws,0,2,17,Python
node-firefox-cli,5,2,1,JavaScript
payments-client,1,3,5,JavaScript
python_mozaggregator,1,3,0,Python
mozWhistle,0,0,0,JavaScript
pulse_actions,1,3,5,Python
webmaker-launch,15,7,67,HTML
signingworker,0,2,0,Python
marketplace-content-tools,3,3,1,JavaScript
node-firefox-console,2,1,0,JavaScript
payments-config,0,2,3,Python
universal-search-addon,4,5,28,JavaScript
publish.webmaker.org,2,9,29,JavaScript
fxa,4,5,10,Python
irc-iplimit,0,2,0,Python
fxa-basket-proxy,0,1,1,JavaScript
popcorn-editor,25,7,29,JavaScript
donate.mozilla.org,11,25,130,JavaScript
foxyeah,3,3,0,CSS
partner-distro-portal,0,0,0,HTML
ee-consultant-guidelines,0,2,0,null
popcoder,6,3,2,Python
minion-vm,3,5,3,Shell
rust-tooltool,0,0,0,Shell
node-firefox-find-wifi-devices,0,1,0,JavaScript
fxemoji,40,4,1,HTML
wikimo_opsec,1,6,1,Python
payments-stats,1,0,0,null
webmaker-core,17,19,403,JavaScript
universal-search-download-page,0,0,0,HTML
vaani,20,11,7,JavaScript
payments-l10n,1,3,0,Python
idea-town-splash,16,4,11,JavaScript
scribe,1,2,0,Go
firefox-ios-open-in-client,4,0,0,Swift
payments-saucelabs-browsers,0,1,0,JavaScript
payments-logo,0,1,0,null
fxa-easter-egg,0,0,1,JavaScript
jugband-react,0,0,0,JavaScript
fxa-password-strength-checker,0,3,2,JavaScript
sumobot,1,1,1,JavaScript
g2p,1,1,0,C++
releasetasks,1,6,3,Python
git-repo,0,0,0,Python
python-spidermonkey,2,2,1,Python
webmaker-ffos,0,0,6,null
webmaker-moderator,0,2,0,JavaScript
trackertest,1,1,0,HTML
idea-town,13,7,58,Python
idea-town-addon,2,3,14,JavaScript
micro-email-validator,1,0,2,JavaScript
stereophoto,1,2,0,Objective-C
telemetry-next-node,1,0,0,JavaScript
remote-newtab,10,3,35,JavaScript
node-basket,0,0,0,JavaScript
sops,221,5,5,Python
service-map,0,1,0,Go
mozorg-js-external,2,2,1,JavaScript
idea-town-meta,3,0,6,null
idea-town-app,0,3,15,JavaScript
webmaker-filter,0,0,0,JavaScript
newtab-dev,2,4,6,null
mozfest-program,32,2,321,null
petitions.mozilla.org,1,5,35,HTML
admin_for_mozilla,0,0,0,null
quality-indices,0,1,0,CSS
ca-policy,1,5,0,null
addons,4,4,4,null
woodstock,0,4,5,Python
feedthefox,9,6,21,Python
compatipede,1,1,1,JavaScript
oghliner,50,10,31,JavaScript
addons-validator,17,7,63,JavaScript
mofo-deprecation,1,1,6,HTML
webqabot,0,3,6,CoffeeScript
version-control-tools,1,4,2,Python
grunt-l10n-lint,0,0,0,JavaScript
fxa-retention-metrics,0,0,3,Python
activity-accessible-gaming,2,1,0,CSS
system-addons,1,1,1,null
mozfest-schedule-app,0,12,27,JavaScript
serviceworker-cookbook,190,17,30,JavaScript
bakery,1,0,0,JavaScript
amo-dashboard,0,0,2,JavaScript
html-presentation-templates,1,2,1,CSS
viewsourceconf-theme,1,1,5,CSS
moz-slides-template,2,1,0,JavaScript
hashitalk2015,10,0,0,null
mozilla-club-guides,0,2,0,HTML
fxa-checkbox,0,0,1,JavaScript
platatus,67,11,28,JavaScript
mwos-letsencrypt-2015,4,1,0,C
mwos-frauddetection-2015,1,0,0,Python
addons-nginx,0,0,0,null
mp4parse-rust,2,2,1,Rust
wadi,0,0,40,null
fhr-v2-v4-executive,0,1,0,R
mozilla-club-activity-kraken-the-code,3,7,21,JavaScript
mozilla-club-activity-ping-kong,2,4,8,JavaScript
mozilla-club-activity-hack-the-news,4,4,4,JavaScript
uk-community,0,0,4,null
mozilla-club-activity-html-puzzle-boxes,1,3,7,JavaScript
mozilla-club-activity-web-chef,1,4,4,JavaScript
mozilla-club-activity-story-of-us,2,4,5,JavaScript
infosec-public-data,0,0,0,HTML
mozfest-schedule-loader,0,2,0,Python
puente,7,2,8,Python
MoBuildbotTimings,0,0,0,JavaScript
www-moz-works,0,1,0,Shell
velocity2015,6,1,0,null
loop,0,0,0,null
fxa-bugzilla-mirror,1,0,32,JavaScript
loop-test,0,1,0,JavaScript
firefox-code-quality,3,0,0,CSS
mofo-2016,0,0,8,null
build-scope-tests,0,2,0,Python
firefox-ios-build-tools,11,1,2,Python
mozilla-infobar,0,0,0,null
dispensary,0,0,7,null
mozlando-frontend-demo,0,0,3,JavaScript
